Comment,Designator,Footprint,LCSC
1k,"R3,R4,R5",R_0402_1005Metric,C11702
0.1u,"C1,C11,C2,C3,C4,C7,C8",C_0402_1005Metric,C1525
10u,"C10,C9",C_0402_1005Metric,C15525
27p,"C12,C13",C_0402_1005Metric,C1557
RP2040_QFN_56,U3,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,C2040
22,"R1,R2",R_0402_1005Metric,C25092
SW_Push,"SWR0,SWR1",TS-1088R-02026,C455280
YS-SK6812MINI-E-Small,"LED1,LED10,LED11,LED12,LED13,LED14,LED15,LED2,LED3,LED4,LED5,LED6,LED7,LED8,LED9",YS-SK6812MINI-E_rev,C5149201
1u,"C5,C6",C_0402_1005Metric,C52923
Conn_01x04_MountingPin,J1,Pico-EZmate,C588524
AMS1117,U1,SOT-223-3_TabPin2,C6186
D_Small,"D1,DK1,DK10,DK12,DK13,DK14,DK15,DK16,DK17,DK2,DK20,DK21,DK23,DK24,DK25,DK26,DK3,DK30,DK31,DK32,DK34,DK35,DK36,DK37,DK4,DK40,DK41,DK42,DK43,DK45,DK46,DK5,DK50,DK51,DK52,DK53,DK54,DK56,DK57,DK6,DK60,DK61,DK62,DK63,DK64,DK65,DK70,DK71,DK72,DK73,DK74,DK75,DK76,DK80,DK81,DK82,DK83,DK84,DK85,DK86,DK87,DR0,DR1,DR2,DR3,DR4,DR5,DR6,DR7,DR8",D_SOD-123,C81598
12M,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,C9002
W25Q128JVS,U2,SOIC-8_5.23x5.23mm_P1.27mm,C97521
