Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1u,C_0402_1005Metric,120.142,-19.05,180.0,bottom
C2,0.1u,C_0402_1005Metric,111.76,-25.146,270.0,bottom
C3,0.1u,C_0402_1005Metric,108.966,-16.51,0.0,bottom
C4,0.1u,C_0402_1005Metric,114.046,-13.208,90.0,bottom
C5,1u,C_0402_1005Metric,112.268,-13.208,90.0,bottom
C6,1u,C_0402_1005Metric,111.252,-13.208,90.0,bottom
C7,0.1u,C_0402_1005Metric,115.3,-13.208,90.0,bottom
C8,0.1u,C_0402_1005Metric,110.3,-25.146,270.0,bottom
C9,10u,C_0402_1005Metric,112.014,-7.112,90.0,bottom
C10,10u,C_0402_1005Metric,112.014,-4.572,90.0,bottom
C11,0.1u,C_0402_1005Metric,117.856,-4.318,180.0,bottom
C12,27p,C_0402_1005Metric,115.57,-23.7,180.0,bottom
C13,27p,C_0402_1005Metric,112.776,-27.178,270.0,bottom
D1,D_Small,D_SOD-123,108.966,1.778,270.0,bottom
DK1,D_Small,D_SOD-123,-9.8425,-5.08,90.0,bottom
DK2,D_Small,D_SOD-123,13.97,-5.08,90.0,bottom
DK3,D_Small,D_SOD-123,33.02,-5.08,90.0,bottom
DK4,D_Small,D_SOD-123,52.07,-5.08,90.0,bottom
DK5,D_Small,D_SOD-123,71.12,-5.08,90.0,bottom
DK6,D_Small,D_SOD-123,90.17,-5.08,90.0,bottom
DK10,D_Small,D_SOD-123,128.269999,-5.08,90.0,bottom
DK12,D_Small,D_SOD-123,147.32,-5.08,90.0,bottom
DK13,D_Small,D_SOD-123,166.37,-5.08,90.0,bottom
DK14,D_Small,D_SOD-123,185.42,-5.08,90.0,bottom
DK15,D_Small,D_SOD-123,204.47,-5.08,90.0,bottom
DK16,D_Small,D_SOD-123,223.52,-5.08,90.0,bottom
DK17,D_Small,D_SOD-123,256.8575,-5.08,90.0,bottom
DK20,D_Small,D_SOD-123,-5.08,-24.13,90.0,bottom
DK21,D_Small,D_SOD-123,18.7325,-24.13,90.0,bottom
DK23,D_Small,D_SOD-123,37.7825,-24.13,90.0,bottom
DK24,D_Small,D_SOD-123,56.8325,-24.13,90.0,bottom
DK25,D_Small,D_SOD-123,75.8825,-24.13,90.0,bottom
DK26,D_Small,D_SOD-123,94.9325,-24.13,90.0,bottom
DK30,D_Small,D_SOD-123,123.507499,-24.13,90.0,bottom
DK31,D_Small,D_SOD-123,142.5575,-24.13,90.0,bottom
DK32,D_Small,D_SOD-123,161.6075,-24.13,90.0,bottom
DK34,D_Small,D_SOD-123,180.6575,-24.13,90.0,bottom
DK35,D_Small,D_SOD-123,199.7075,-24.13,90.0,bottom
DK36,D_Small,D_SOD-123,218.7575,-24.13,90.0,bottom
DK37,D_Small,D_SOD-123,252.095,-24.13,90.0,bottom
DK40,D_Small,D_SOD-123,-2.69875,-43.18,90.0,bottom
DK41,D_Small,D_SOD-123,23.495,-43.18,90.0,bottom
DK42,D_Small,D_SOD-123,42.545,-43.18,90.0,bottom
DK43,D_Small,D_SOD-123,61.595,-43.18,90.0,bottom
DK45,D_Small,D_SOD-123,80.645,-43.18,90.0,bottom
DK46,D_Small,D_SOD-123,99.695,-43.18,90.0,bottom
DK50,D_Small,D_SOD-123,118.745,-43.18,90.0,bottom
DK51,D_Small,D_SOD-123,137.795,-43.18,90.0,bottom
DK52,D_Small,D_SOD-123,156.845,-43.18,90.0,bottom
DK53,D_Small,D_SOD-123,175.895,-43.18,90.0,bottom
DK54,D_Small,D_SOD-123,194.945,-43.18,90.0,bottom
DK56,D_Small,D_SOD-123,213.995,-43.18,90.0,bottom
DK57,D_Small,D_SOD-123,244.95125,-43.18,90.0,bottom
DK60,D_Small,D_SOD-123,-7.46125,-62.23,90.0,bottom
DK61,D_Small,D_SOD-123,18.7325,-62.23,90.0,bottom
DK62,D_Small,D_SOD-123,37.7825,-62.23,90.0,bottom
DK63,D_Small,D_SOD-123,56.8325,-62.23,90.0,bottom
DK64,D_Small,D_SOD-123,75.8825,-62.23,90.0,bottom
DK65,D_Small,D_SOD-123,94.9325,-62.23,90.0,bottom
DK70,D_Small,D_SOD-123,123.507499,-62.23,90.0,bottom
DK71,D_Small,D_SOD-123,142.5575,-62.23,90.0,bottom
DK72,D_Small,D_SOD-123,161.6075,-62.23,90.0,bottom
DK73,D_Small,D_SOD-123,180.6575,-62.23,90.0,bottom
DK74,D_Small,D_SOD-123,199.7075,-62.23,90.0,bottom
DK75,D_Small,D_SOD-123,218.7575,-62.23,90.0,bottom
DK76,D_Small,D_SOD-123,249.71375,-62.23,90.0,bottom
DK80,D_Small,D_SOD-123,16.35125,-81.28,90.0,bottom
DK81,D_Small,D_SOD-123,40.16375,-81.28,90.0,bottom
DK82,D_Small,D_SOD-123,61.595,-81.28,90.0,bottom
DK83,D_Small,D_SOD-123,92.55125,-81.28,90.0,bottom
DK84,D_Small,D_SOD-123,135.41375,-81.28,90.0,bottom
DK85,D_Small,D_SOD-123,166.37,-81.28,90.0,bottom
DK86,D_Small,D_SOD-123,187.80125,-81.28,90.0,bottom
DK87,D_Small,D_SOD-123,211.613749,-81.28,90.0,bottom
DR0,D_Small,D_SOD-123,99.822,2.54,0.0,bottom
DR1,D_Small,D_SOD-123,141.732,3.81,0.0,bottom
DR2,D_Small,D_SOD-123,20.828,-12.7,0.0,bottom
DR3,D_Small,D_SOD-123,174.498,-12.7,0.0,bottom
DR4,D_Small,D_SOD-123,63.5,-31.75,0.0,bottom
DR5,D_Small,D_SOD-123,206.756,-31.75,0.0,bottom
DR6,D_Small,D_SOD-123,97.536,-50.8,0.0,bottom
DR7,D_Small,D_SOD-123,245.11,-50.8,0.0,bottom
DR8,D_Small,D_SOD-123,122.428,-69.85,0.0,bottom
J1,Conn_01x04_MountingPin,Pico-EZmate,89.69375,-11.90625,90.0,bottom
LED1,YS-SK6812MINI-E-Small,YS-SK6812MINI-E_rev,85.725,7.14375,0.0,bottom
LED2,YS-SK6812MINI-E-Small,YS-SK6812MINI-E_rev,47.625,7.14375,0.0,bottom
LED3,YS-SK6812MINI-E-Small,YS-SK6812MINI-E_rev,7.14375,7.14375,0.0,bottom
LED4,YS-SK6812MINI-E-Small,YS-SK6812MINI-E_rev,-11.90625,-13.096875,270.0,bottom
LED5,YS-SK6812MINI-E-Small,YS-SK6812MINI-E_rev,-11.90625,-44.053125,270.0,bottom
LED6,YS-SK6812MINI-E-Small,YS-SK6812MINI-E_rev,55.959375,-83.34375,180.0,bottom
LED7,YS-SK6812MINI-E-Small,YS-SK6812MINI-E_rev,119.0625,-83.34375,180.0,bottom
LED8,YS-SK6812MINI-E-Small,YS-SK6812MINI-E_rev,182.165625,-83.34375,180.0,bottom
LED9,YS-SK6812MINI-E-Small,YS-SK6812MINI-E_rev,235.74375,-64.29375,180.0,bottom
LED10,YS-SK6812MINI-E-Small,YS-SK6812MINI-E_rev,269.08125,-44.053125,90.0,bottom
LED11,YS-SK6812MINI-E-Small,YS-SK6812MINI-E_rev,269.08125,-13.096875,90.0,bottom
LED12,YS-SK6812MINI-E-Small,YS-SK6812MINI-E_rev,250.03125,7.14375,0.0,bottom
LED13,YS-SK6812MINI-E-Small,YS-SK6812MINI-E_rev,219.075,7.14375,0.0,bottom
LED14,YS-SK6812MINI-E-Small,YS-SK6812MINI-E_rev,180.975,7.14375,0.0,bottom
LED15,YS-SK6812MINI-E-Small,YS-SK6812MINI-E_rev,125.015625,7.14375,0.0,bottom
R1,22,R_0402_1005Metric,106.6165,-10.16,0.0,bottom
R2,22,R_0402_1005Metric,106.6165,-11.303,180.0,bottom
R3,1k,R_0402_1005Metric,122.428,-4.318,180.0,bottom
R4,1k,R_0402_1005Metric,123.952,-3.81,270.0,bottom
R5,1k,R_0402_1005Metric,112.776,-25.146,270.0,bottom
SWR0,SW_Push,TS-1088R-02026,105.41,1.524,270.0,bottom
SWR1,SW_Push,TS-1088R-02026,123.19,1.524,270.0,bottom
U1,AMS1117,SOT-223-3_TabPin2,106.934,-5.842,0.0,bottom
U2,W25Q128JVS,SOIC-8_5.23x5.23mm_P1.27mm,120.65,-7.874,0.0,bottom
U3,RP2040_QFN_56,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,114.3,-19.05,0.0,bottom
Y1,12M,Crystal_SMD_3225-4Pin_3.2x2.5mm,115.062,-26.416,270.0,bottom
